Typ;Flurkarten;LU_x;LU_y;LO_x;LO_y;RO_x;RO_y;RU_x;RU_y
Badische Flurkarten;10.144;532017.7427;5506157.109;532024.9428;5507156.601;533024.5055;5507149.436;533017.2807;5506150.027
Badische Flurkarten;23.151;538921.0465;5493112.921;538928.2447;5494112.451;539927.8301;5494105.248;539920.6174;5493105.728
Badische Flurkarten;23.152;539920.6174;5493105.728;539927.8301;5494105.248;540927.414;5494098.025;540920.1903;5493098.518
Badische Flurkarten;23.153;540920.1903;5493098.518;540927.414;5494098.025;541926.9772;5494090.76;541919.7752;5493091.284
Badische Flurkarten;23.154;541919.7752;5493091.284;541926.9772;5494090.76;542926.556;5494083.632;542919.3516;5493084.088
Badische Flurkarten;23.155;542919.3516;5493084.088;542926.556;5494083.632;543926.1985;5494076.415;543918.9857;5493076.877
Badische Flurkarten;23.156;543918.9857;5493076.877;543926.1985;5494076.415;544925.8498;5494069.229;544918.5901;5493069.652
Badische Flurkarten;37.74;461852.7139;5479673.344;461859.872;5480672.983;462859.4872;5480665.811;462852.3216;5479666.166
Badische Flurkarten;37.75;462852.3216;5479666.166;462859.4872;5480665.811;463859.0564;5480658.642;463851.9113;5479658.983
Badische Flurkarten;37.76;463851.9113;5479658.983;463859.0564;5480658.642;464858.6502;5480651.461;464851.5133;5479651.825
Badische Flurkarten;37.77;464851.5133;5479651.825;464858.6502;5480651.461;465858.2869;5480644.25;465851.1054;5479644.667
Badische Flurkarten;37.78;465851.1054;5479644.667;465858.2869;5480644.25;466857.9599;5480637.084;466850.7388;5479637.514
Badische Flurkarten;37.79;466850.7388;5479637.514;466857.9599;5480637.084;467857.6056;5480629.919;467850.4048;5479630.37
Badische Flurkarten;37.80;467850.4048;5479630.37;467857.6056;5480629.919;468857.2227;5480622.767;468850.0361;5479623.217
Badische Flurkarten;37.81;468850.0361;5479623.217;468857.2227;5480622.767;469856.7468;5480615.544;469849.5845;5479616.007
Badische Flurkarten;37.82;469849.5845;5479616.007;469856.7468;5480615.544;470856.2824;5480608.285;470849.1064;5479608.773
Badische Flurkarten;37.83;470849.1064;5479608.773;470856.2824;5480608.285;471855.7999;5480601.095;471848.625;5479601.547
Badische Flurkarten;37.84;471848.625;5479601.547;471855.7999;5480601.095;472855.3942;5480593.905;472848.1762;5479594.38
Badische Flurkarten;37.85;472848.1762;5479594.38;472855.3942;5480593.905;473854.9986;5480586.737;473847.7715;5479587.22
Badische Flurkarten;37.86;473847.7715;5479587.22;473854.9986;5480586.737;474854.5851;5480579.564;474847.3474;5479580.061
Badische Flurkarten;37.87;474847.3474;5479580.061;474854.5851;5480579.564;475854.182;5480572.391;475846.933;5479572.871
Badische Flurkarten;37.88;475846.933;5479572.871;475854.182;5480572.391;476853.7962;5480565.225;476846.5951;5479565.68
Badische Flurkarten;37.89;476846.5951;5479565.68;476853.7962;5480565.225;477853.3964;5480558.035;477846.2481;5479558.52
Badische Flurkarten;37.90;477846.2481;5479558.52;477853.3964;5480558.035;478852.9931;5480550.863;478845.8514;5479551.352
Badische Flurkarten;37.91;478845.8514;5479551.352;478852.9931;5480550.863;479852.6066;5480543.704;479845.4816;5479544.192
Badische Flurkarten;37.92;479845.4816;5479544.192;479852.6066;5480543.704;480852.2261;5480536.552;480845.0969;5479537.025
Badische Flurkarten;37.93;480845.0969;5479537.025;480852.2261;5480536.552;481851.8453;5480529.389;481844.7053;5479529.874
Badische Flurkarten;37.94;481844.7053;5479529.874;481851.8453;5480529.389;482851.4425;5480522.254;482844.2816;5479522.747
Badische Flurkarten;37.95;482844.2816;5479522.747;482851.4425;5480522.254;483851.0046;5480515.077;483843.8813;5479515.619
Badische Flurkarten;37.96;483843.8813;5479515.619;483851.0046;5480515.077;484850.5415;5480507.882;484843.4074;5479508.468
Badische Flurkarten;37.97;484843.4074;5479508.468;484850.5415;5480507.882;485850.0902;5480500.661;485842.9322;5479501.268
Badische Flurkarten;37.98;485842.9322;5479501.268;485850.0902;5480500.661;486849.6729;5480493.467;486842.5086;5479494.044
Badische Flurkarten;37.99;486842.5086;5479494.044;486849.6729;5480493.467;487849.2477;5480486.273;487842.104;5479486.859
Badische Flurkarten;37.100;487842.104;5479486.859;487849.2477;5480486.273;488848.8777;5480479.053;488841.7383;5479479.631
Badische Flurkarten;37.101;488841.7383;5479479.631;488848.8777;5480479.053;489848.4923;5480471.826;489841.3607;5479472.403
Badische Flurkarten;37.102;489841.3607;5479472.403;489848.4923;5480471.826;490848.1363;5480464.607;490840.997;5479465.173
